Sample	City	Location	Latitude	Longitude	Line	Interchange	Ground	Samplig_date	Temperature_Out	RH
SL342456	Stockholm	Fridhemsplan	59.18277	18.04331	Green	Station	Underground	28_09_2017	15	88
SL342457	Stockholm	Fridhemsplan	59.18515	18.04241	Green	Station	Underground	28_09_2017	15	88
SL342516	Stockholm	Medborgarplatsen	59.19513	18.03327	Red	Interchange	Underground	28_09_2017	15	88
SL342455	Stockholm	Skanstull	59.19556	18.0144	Green	Interchange	Underground	28_09_2017	15	88
SL342458	Stockholm	Skanstull	59.19104	18.04194	Red	Interchange	Underground	28_09_2017	15	88
SL342517	Stockholm	Slussen	59.20448	18.04165	Red	Station	Underground	28_09_2017	15	73
SL342518	Stockholm	T-centralen	59.21546	18.03144	Red	Station	Underground	28_09_2017	15	73
SL342519	Stockholm	Tekniska hogskolan	59.23283	18.02298	Red	Station	Underground	28_09_2017	15	73
SL342520	Stockholm	Universitetet	59.19513	18.03327	Red	Station	Underground	28_09_2017	15	73
SL335768	Denver	DIA	39.8501278	-104.6739062	A line	Station	Aboveground	29_06_2017	28	25
SL335769	Denver	DIA	39.8501278	-104.6739062	A line	Station	Aboveground	29_06_2017	28	25
SL335770	Denver	DIA	39.8501278	-104.6739062	A line	Station	Aboveground	29_06_2017	28	25
